Scenario: Follower's fusion policy determines whether a cascade compounds
Showing vehicle: 'lead' (pass a second argument to choose a different one)
    t |   vehicle | speed(mph) | lane |     radar |    camera |     lidar | belief_dist | obstacle? |    source |            reacting_to | collision | roundabout
  0.0 |      lead |      44.74 |    0 |      85.0 |      85.0 |         - |        85.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  0.1 |      lead |      44.74 |    0 |      83.0 |      83.0 |         - |        83.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  0.2 |      lead |      44.74 |    0 |      81.0 |      81.0 |         - |        81.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  0.3 |      lead |      44.74 |    0 |      79.0 |      79.0 |      79.0 |        79.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  0.4 |      lead |      44.74 |    0 |      77.0 |      77.0 |      77.0 |        77.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  0.5 |      lead |      44.74 |    0 |      75.0 |      75.0 |      75.0 |        75.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  0.6 |      lead |      44.74 |    0 |      73.0 |      73.0 |      73.0 |        73.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  0.7 |      lead |      44.74 |    0 |      71.0 |      71.0 |      71.0 |        71.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  0.8 |      lead |      44.74 |    0 |      69.0 |      69.0 |      69.0 |        69.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  0.9 |      lead |      44.74 |    0 |      67.0 |      67.0 |      67.0 |        67.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.0 |      lead |      44.71 |    0 |      65.0 |      65.0 |      65.0 |        65.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.1 |      lead |      44.62 |    0 |      63.0 |      63.0 |      63.0 |        63.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.2 |      lead |      44.48 |    0 |      61.0 |      61.0 |      61.0 |        61.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.3 |      lead |      44.30 |    0 |    200.0* |      59.0 |      59.0 |       106.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.4 |      lead |      44.74 |    0 |    200.0* |      57.0 |      57.0 |       104.7 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.5 |      lead |      44.74 |    0 |    200.0* |      55.0 |      55.0 |       103.4 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.6 |      lead |      44.74 |    0 |    200.0* |      53.0 |      53.0 |       102.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.7 |      lead |      44.74 |    0 |    200.0* |      51.0 |      51.0 |       100.7 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.8 |      lead |      44.74 |    0 |    200.0* |      49.0 |      49.0 |        99.4 |      True |  weighted | hazard:pedestrian_crossing |           | 
  1.9 |      lead |      44.74 |    0 |    200.0* |      47.0 |      47.0 |        98.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.0 |      lead |      44.74 |    0 |    200.0* |      45.0 |      45.0 |        96.7 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.1 |      lead |      44.74 |    0 |    200.0* |      43.0 |      43.0 |        95.4 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.2 |      lead |      44.74 |    0 |    200.0* |      41.0 |      41.0 |        94.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.3 |      lead |      44.74 |    0 |    200.0* |      39.0 |      39.0 |        92.7 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.4 |      lead |      44.74 |    0 |    200.0* |      37.0 |      37.0 |        91.4 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.5 |      lead |      44.74 |    0 |    200.0* |      35.0 |      35.0 |        90.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.6 |      lead |      44.74 |    0 |    200.0* |      33.0 |      33.0 |        88.7 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.7 |      lead |      44.74 |    0 |    200.0* |      31.0 |      31.0 |        87.4 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.8 |      lead |      44.74 |    0 |    200.0* |      29.0 |      29.0 |        86.0 |      True |  weighted | hazard:pedestrian_crossing |           | 
  2.9 |      lead |      44.74 |    0 |    200.0* |      27.0 |      27.0 |        84.7 |      True |  weighted | hazard:pedestrian_crossing |           | 
